,BaseDateTime,LAT,LON,SOG,COG,Heading,IMO,VesselType,Status,Length,Width,Draft,VHM0_WW,VMDR_SW2,VMDR_SW1,VMDR,VTM10,VTPK,VPED,VTM02,VMDR_WW,VTM01_SW2,VHM0_SW1,VTM01_SW1,VSDX,VSDY,VHM0,VTM01_WW,VHM0_SW2
275,2016-10-29 02:00:00,54.10137,-152.91577,10.7,-135.6,272.0,IMO9550424,70.0,under way using engine,170.0,27.0,9.4,0.8333333730697632,64.93333435058594,246.30001831054688,239.43667602539065,8.930000305175781,11.263333320617676,247.5,6.333333969116211,198.9666748046875,7.173333644866943,1.8866666555404663,9.99333381652832,0.0266666673123836,0.0866666659712791,2.513333320617676,3.4166667461395264,1.1933332681655884
276,2016-10-29 05:00:00,54.21675,-153.7466,9.7,-115.6,289.0,IMO9550424,70.0,under way using engine,170.0,27.0,9.4,1.6433334350585938,95.02334594726562,246.68667602539065,223.12001037597656,8.41333293914795,10.766666412353516,247.5,6.210000038146973,187.4966735839844,7.369999885559082,2.2166666984558105,9.40666675567627,0.0066666668280959,0.1533333361148834,3.0,4.636666774749756,0.9900000095367432
277,2016-12-14 13:00:00,51.41345,-154.5433,12.3,101.4,101.0,IMO9577460,70.0,under way using engine,229.0,32.0,7.3,2.256666660308838,231.05667114257807,245.8333435058593,202.56333923339844,7.543333530426025,8.446666717529297,242.5,5.9633331298828125,182.9433441162109,9.133333206176758,1.40666663646698,9.113332748413086,0.0033333334140479,0.1733333319425583,2.9699997901916504,5.586666584014893,1.0099999904632568
278,2016-12-27 16:00:00,55.69989,-153.66772,12.8,56.7,67.0,IMO9643958,70.0,under way using engine,180.0,30.0,6.5,1.5833334922790527,160.6666717529297,228.72335815429688,231.1466827392578,12.039999961853027,14.136667251586914,232.5,9.226667404174805,255.1000061035156,8.84999942779541,5.176666736602783,11.83666706085205,0.1633333265781402,0.0766666680574417,5.466666221618652,4.836667060852051,0.4033333361148834
279,2016-12-27 18:00:00,55.86081,-153.00676,13.1,77.0,80.0,IMO9643958,70.0,under way using engine,180.0,30.0,6.5,1.069999933242798,66.81999969482422,230.20999145507807,230.70999145507807,12.06999969482422,14.149999618530272,232.5,9.329999923706056,246.01998901367188,9.039999961853027,5.049999713897705,11.380000114440918,0.1299999952316284,0.0799999982118606,5.179999828338623,4.059999942779541,0.4899999797344208
280,2016-12-27 19:00:00,55.8993,-152.48398,11.9,85.6,80.0,IMO9643958,70.0,under way using engine,180.0,30.0,6.5,1.1233333349227903,60.07667541503906,230.79666137695312,231.45001220703125,12.079999923706056,14.15333366394043,232.5,9.300000190734863,245.683349609375,8.350000381469727,4.983333110809326,11.460000991821287,0.1266666650772094,0.0833333358168602,5.130000114440918,4.153333187103272,0.45333331823349
281,2016-12-27 20:00:00,55.92019,-152.20415,12.9,78.7,81.0,IMO9643958,70.0,under way using engine,180.0,30.0,6.5,1.3266667127609253,297.8900146484375,230.35665893554688,231.9300079345703,12.046667098999023,14.160000801086426,232.5,9.243332862854004,244.9900054931641,6.136666774749756,4.916666507720947,11.766666412353516,0.1266666650772094,0.0866666659712791,5.143333435058594,4.553333282470703,0.4566666781902313
282,2016-12-27 21:00:00,55.93821,-151.98296,12.1,87.1,80.0,IMO9643958,70.0,under way using engine,180.0,30.0,6.5,1.409999966621399,282.5,230.3099975585937,231.97000122070312,12.019999504089355,14.199999809265137,232.5,9.210000038146973,244.1300048828125,6.809999942779541,4.869999885559082,11.789999961853027,0.1099999994039535,0.0999999940395355,5.109999656677246,4.739999771118164,0.2800000011920929
283,2016-12-27 22:00:00,55.96841,-151.41714,11.6,88.0,85.0,IMO9643958,70.0,under way using engine,180.0,30.0,6.5,1.34333336353302,287.8866882324219,230.29000854492188,232.51333618164065,12.026666641235352,14.203333854675291,246.1000213623047,9.166666030883787,253.70001220703125,6.826666355133057,4.883333206176758,11.709999084472656,0.1299999952316284,0.0666666626930236,5.116666793823242,4.590000152587891,0.3300000131130218
284,2016-05-23 07:00:00,54.34201,-147.35398,17.2,93.9,93.0,IMO9215646,79.0,under way using engine,278.0,40.0,10.8,1.2300000190734863,222.0933532714844,272.6166687011719,262.6600036621094,6.9633331298828125,7.670000076293945,267.5,5.286666870117188,269.7733459472656,11.270000457763672,1.4633333683013916,6.65333366394043,0.1199999973177909,0.0,2.0999999046325684,4.326666831970215,0.7300000190734863
285,2016-07-25 15:00:00,20.8345,-148.79282,13.0,136.8,133.0,IMO9344057,70.0,under way using engine,192.0,32.0,11.1,0.5899999737739563,353.3999938964844,72.45999908447266,80.5,8.519999504089355,9.130000114440918,67.5,5.679999828338623,82.41000366210938,8.579999923706055,1.2899999618530271,6.710000038146973,-0.0700000002980232,-0.0199999995529651,1.7699999809265137,3.0899999141693115,0.6499999761581421
286,2016-07-25 16:00:00,20.81062,-148.76841,12.9,135.6,133.0,IMO9344057,70.0,under way using engine,192.0,32.0,11.1,0.56333327293396,303.35333251953125,71.24333190917969,81.00666809082031,8.386667251586914,8.933333396911621,67.5,5.553333282470703,82.15333557128906,10.166666030883787,1.243333339691162,6.559999942779541,-0.0799999982118606,-0.016666667535901,1.7133333683013916,3.0,0.6033333539962769
287,2016-07-25 17:00:00,20.63635,-148.58856,12.9,135.7,131.0,IMO9344057,70.0,under way using engine,192.0,32.0,11.1,0.550000011920929,253.32667541503903,69.82000732421875,80.5433349609375,8.273333549499512,8.74333381652832,67.5,5.470000267028809,78.43000793457031,11.84000015258789,1.2166666984558103,6.440000534057617,-0.0766666680574417,-0.0233333334326744,1.670000076293945,2.970000028610229,0.5666666626930237
288,2016-07-25 21:00:00,19.97328,-147.9041,13.7,136.5,136.0,IMO9344057,70.0,under way using engine,192.0,32.0,11.1,0.6599999666213989,207.22000122070312,70.5,78.34000396728516,7.679999828338623,8.34999942779541,67.5,5.0,68.47000122070312,13.859999656677246,1.159999966621399,6.079999923706055,-0.0999999940395355,-0.0399999991059303,1.6399999856948853,3.069999933242798,0.4899999797344208
289,2016-07-25 22:00:00,19.75081,-147.67859,13.6,135.1,135.0,IMO9344057,70.0,under way using engine,192.0,32.0,11.1,0.8733333349227905,164.0800018310547,56.26667022705078,78.39334106445312,7.506666660308838,8.25,67.5,4.930000305175781,68.12001037597656,11.24666690826416,0.9633333086967468,6.570000171661377,-0.1066666692495346,-0.0466666668653488,1.683333396911621,3.546666622161865,0.4933333396911621
290,2016-07-26 00:00:00,19.44517,-147.36443,13.5,137.8,135.0,IMO9344057,70.0,under way using engine,192.0,32.0,11.1,1.0399999618530271,203.7700042724609,53.400001525878906,77.77999877929688,7.419999599456787,7.779999732971191,67.5,5.019999980926514,63.709999084472656,13.210000038146973,0.9300000071525574,7.0,-0.0999999940395355,-0.0499999970197677,1.7699999809265137,3.929999828338623,0.5600000023841858
291,2016-07-26 01:00:00,19.28181,-147.19719,13.5,136.0,133.0,IMO9344057,70.0,under way using engine,192.0,32.0,7.7,1.0466666221618652,47.53000259399414,62.20333862304688,77.05667114257812,7.436666488647461,7.329999923706055,62.5,5.046667098999023,61.51667022705078,8.50333309173584,0.8299999833106995,6.473333358764648,-0.0999999940395355,-0.053333330899477,1.7966667413711548,3.9600000381469727,0.5133333206176758
292,2016-07-26 02:00:00,19.06447,-146.9741,14.5,135.4,132.0,IMO9344057,70.0,under way using engine,192.0,32.0,7.7,1.0166666507720947,149.85000610351562,67.60000610351562,76.06666564941406,7.453333377838135,7.0333333015441895,57.47333526611328,5.086667060852051,58.3900032043457,12.15333366394043,1.066666603088379,6.3433332443237305,-0.089999996125698,-0.0566666647791862,1.8233333826065063,3.919999837875366,0.5566666722297668
293,2016-07-26 03:00:00,18.90337,-146.81206,13.9,135.0,131.0,IMO9344057,70.0,under way using engine,192.0,32.0,7.7,1.090000033378601,53.900001525878906,93.88999938964844,74.79000091552734,7.409999847412109,6.87999963760376,52.5,5.009999752044678,55.43000030517578,8.109999656677246,0.9699999690055848,6.159999847412109,-0.0999999940395355,-0.0700000002980232,1.8499999046325684,4.0,0.6800000071525574
294,2016-07-26 04:00:00,18.82903,-146.73556,13.6,135.1,131.0,IMO9344057,70.0,under way using engine,192.0,32.0,7.7,1.1466666460037231,106.3233413696289,75.91999816894531,75.86334228515625,7.366666793823242,6.84666633605957,57.5,5.006667137145996,62.03667068481445,10.036666870117188,0.9333333373069764,6.230000019073486,-0.103333331644535,-0.0633333325386047,1.870000004768372,4.099999904632568,0.653333306312561
295,2016-07-26 10:00:00,17.79323,-145.68232,12.7,136.0,134.0,IMO9344057,70.0,under way using engine,192.0,32.0,7.7,0.9866666793823242,203.65000915527344,53.20334243774414,73.13667297363281,7.533333301544189,7.146667003631592,67.5,5.183333396911621,67.59333801269531,14.006667137145996,1.4166667461395264,6.450000286102295,-0.1099999994039535,-0.0466666668653488,1.9299999475479128,3.829999923706055,0.6233333349227905
296,2016-07-26 11:00:00,17.60168,-145.49058,13.1,136.2,134.0,IMO9344057,70.0,under way using engine,192.0,32.0,7.7,0.90666663646698,204.8099975585937,52.90333557128906,72.51667022705078,7.59666633605957,7.220000267028809,67.5,5.309999942779541,69.60667419433594,14.3100004196167,1.4833333492279053,6.456666946411133,-0.0999999940395355,-0.0399999991059303,1.9399999380111688,3.743333339691162,0.6133333444595337
297,2016-07-26 12:00:00,17.45166,-145.33448,12.9,135.4,134.0,IMO9344057,70.0,under way using engine,192.0,32.0,7.7,0.8199999928474426,206.2400054931641,53.600006103515625,73.16000366210938,7.690000057220459,7.299999713897705,67.5,5.359999656677246,71.84000396728516,14.50999927520752,1.5199999809265137,6.440000057220459,-0.0999999940395355,-0.0399999991059303,1.9399999380111688,3.559999942779541,0.6100000143051147
298,2016-07-26 17:00:00,16.80349,-144.68317,13.4,136.5,135.0,IMO9344057,70.0,under way using engine,192.0,32.0,7.7,0.8933333158493042,209.163330078125,51.05667495727539,72.93667602539062,7.806666851043701,7.5833330154418945,52.5,5.386666774749756,68.07333374023438,14.64666748046875,1.4466667175292969,6.636666774749756,-0.0966666638851165,-0.0366666689515113,1.9399999380111688,3.683333396911621,0.5866666436195374
299,2016-07-26 18:00:00,16.57882,-144.45366,13.3,136.7,135.0,IMO9344057,70.0,under way using engine,192.0,32.0,7.7,0.9199999570846558,209.6199951171875,50.11000061035156,74.16000366210938,7.829999923706055,7.619999885559082,52.5,5.369999885559082,69.05000305175781,14.639999389648438,1.409999966621399,6.659999847412109,-0.0999999940395355,-0.0399999991059303,1.9399999380111688,3.7200000286102295,0.5899999737739563
